"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","miRNA"
"hsa-mir-9-1_hsa-miR-9-3p",2.39414672530906,-0.903025342593745,0.278565232532064,-3.24170153750182,0.00118818387936052,0.00447010925487575,"hsa-miR-9-3p"
"hsa-mir-5187_hsa-miR-5187-5p",5.428226976764,-0.856064999736502,0.269103025526915,-3.18117939424981,0.00146676771522729,0.00533683088873778,"hsa-miR-5187-5p"
"hsa-mir-3120_hsa-miR-3120-3p",4.35399388916711,-1.10494840340032,0.238558682581251,-4.63176771201354,3.62556797800495e-06,3.51226897869229e-05,"hsa-miR-3120-3p"
"hsa-mir-199a-2_hsa-miR-199a-3p",142.062587685181,-0.563292799486028,0.23993080409727,-2.34773021999153,0.0188881964535678,0.0428021995658335,"hsa-miR-199a-3p"
"hsa-mir-3124_hsa-miR-3124-5p",2.89723905301869,-0.929714077626041,0.252841170559587,-3.67706760559763,0.000235930528062674,0.00111467642495782,"hsa-miR-3124-5p"
"hsa-mir-1296_hsa-miR-1296-5p",2.44921580715657,-0.731321759648397,0.252865672710276,-2.89213538480693,0.00382633024995611,0.0119572820311128,"hsa-miR-1296-5p"
"hsa-mir-4484_hsa-miR-4484",5.3417633426893,-1.00546530652134,0.379454893577468,-2.64976239215655,0.0080548397530847,0.0213550257936716,"hsa-miR-4484"
"hsa-mir-675_hsa-miR-675-5p",8.11007574252188,-0.80784238066827,0.29740446681368,-2.71630883464294,0.00660143063119091,0.0180144673914541,"hsa-miR-675-5p"
"hsa-mir-1343_hsa-miR-1343-3p",3.92591322114879,-0.633674345130145,0.232505990970835,-2.72541082698222,0.00642215216974945,0.0177755997555565,"hsa-miR-1343-3p"
"hsa-mir-130a_hsa-miR-130a-5p",5.87038473407451,-0.638206985594297,0.2360799433716,-2.70335114656366,0.00686441860361016,0.018536322013233,"hsa-miR-130a-5p"
"hsa-mir-1908_hsa-miR-1908-5p",94.1446172958821,-0.601907698141117,0.232744552977339,-2.58613011751008,0.00970602823056258,0.0249906042481263,"hsa-miR-1908-5p"
"hsa-mir-139_hsa-miR-139-3p",15.3204701234411,-0.574973347936571,0.184947168359446,-3.10885185773218,0.00187815863846626,0.00635621373280066,"hsa-miR-139-3p"
"hsa-mir-326_hsa-miR-326",680.572737207395,-1.18911731621504,0.196748642653629,-6.04383999898005,1.50488755020174e-09,4.31958463483833e-08,"hsa-miR-326"
"hsa-mir-1304_hsa-miR-1304-3p",3.75020516638332,-0.646495326033969,0.2038950636448,-3.17072573743233,0.00152058635125013,0.00545580751027245,"hsa-miR-1304-3p"
"hsa-mir-200c_hsa-miR-200c-3p",13.8664338043411,-0.52735678013313,0.19487144016951,-2.70617787642154,0.00680625783701055,0.0184435308520391,"hsa-miR-200c-3p"
"hsa-mir-615_hsa-miR-615-5p",5.04023888764684,-2.9974156590784,0.354687305685776,-8.45086816198001,2.89144616565654e-17,4.48174155676763e-15,"hsa-miR-615-5p"
"hsa-mir-3198-2_hsa-miR-3198",3.01576812501039,-0.958026023163871,0.327974826672039,-2.92103522970029,0.00348870375016515,0.0109908349852764,"hsa-miR-3198"
"hsa-mir-1228_hsa-miR-1228-5p",127.070043198534,-1.11768233265297,0.282514091873888,-3.95620029160135,7.6151320956573e-05,0.00044042741598018,"hsa-miR-1228-5p"
"hsa-mir-8072_hsa-miR-8072",3.9283562290199,-1.02011410366172,0.318716847835736,-3.2006908658543,0.00137098534447496,0.00503560967757391,"hsa-miR-8072"
"hsa-mir-4707_hsa-miR-4707-3p",2.50746267820516,-1.17384519616996,0.296008957656754,-3.96557322272363,7.32197700319237e-05,0.0004266565546973,"hsa-miR-4707-3p"
"hsa-mir-493_hsa-miR-493-3p",4.24208537606541,-1.006174602457,0.248834033819549,-4.04355701273026,5.26463468592836e-05,0.000323816815999562,"hsa-miR-493-3p"
"hsa-mir-337_hsa-miR-337-5p",18.7598165062475,-0.506948665626579,0.206843988148934,-2.45087454638304,0.0142509612473253,0.0340879474280158,"hsa-miR-337-5p"
"hsa-mir-337_hsa-miR-337-3p",5.31463121060397,-0.758257251485097,0.242799135432102,-3.12298167839705,0.00179028892182763,0.00616655073073961,"hsa-miR-337-3p"
"hsa-mir-665_hsa-miR-665",13.4821300407986,-1.29513262264742,0.238820881449837,-5.42302923758138,5.85974034460324e-08,1.13532469176688e-06,"hsa-miR-665"
"hsa-mir-431_hsa-miR-431-3p",2.80625363549721,-1.18369604174929,0.271991875194216,-4.3519536784107,1.34929773557787e-05,0.000104570574507285,"hsa-miR-431-3p"
"hsa-mir-433_hsa-miR-433-3p",19.880843336362,-1.4029850390137,0.233878605698425,-5.99877459857435,1.98812095333804e-09,5.31308185805857e-08,"hsa-miR-433-3p"
"hsa-mir-127_hsa-miR-127-5p",46.9790280269364,-1.08658519753112,0.253440893523794,-4.2873317814795,1.80832102053107e-05,0.000137396940285449,"hsa-miR-127-5p"
"hsa-mir-127_hsa-miR-127-3p",139.899022073299,-0.922711961161166,0.21023035058583,-4.38905209733004,1.13845796635091e-05,8.91217094870661e-05,"hsa-miR-127-3p"
"hsa-mir-432_hsa-miR-432-5p",5.56717923908415,-1.55771302056668,0.262478736910964,-5.93462555824124,2.94516872205526e-09,7.13283049872759e-08,"hsa-miR-432-5p"
"hsa-mir-136_hsa-miR-136-5p",95.3087296570424,-0.633407658604155,0.21574447527942,-2.935916007971,0.00332564355455907,0.0105198928766664,"hsa-miR-136-5p"
"hsa-mir-370_hsa-miR-370-3p",25.3932265231573,-1.45522453458716,0.251433637540358,-5.78770823515441,7.13532061679883e-09,1.53607596611641e-07,"hsa-miR-370-3p"
"hsa-mir-379_hsa-miR-379-5p",3.50822576362303,-0.830654000677417,0.261250586167034,-3.17952971078245,0.00147514246208721,0.00534222153325976,"hsa-miR-379-5p"
"hsa-mir-323a_hsa-miR-323a-3p",7.75038393284952,-0.676668564654891,0.23566121082697,-2.87136165633862,0.00408707634784915,0.0126490378575273,"hsa-miR-323a-3p"
"hsa-mir-758_hsa-miR-758-3p",6.65309346023086,-1.20068898438189,0.233629412165555,-5.13928864200989,2.75780496278017e-07,3.62905158058738e-06,"hsa-miR-758-3p"
"hsa-mir-329-1_hsa-miR-329-3p",9.13848464386452,-0.903635665434238,0.23438131174847,-3.85540834588377,0.000115536612026691,0.000617523271177144,"hsa-miR-329-3p"
"hsa-mir-329-2_hsa-miR-329-3p",9.44708446389497,-1.03163687642611,0.228567660079329,-4.51348574889405,6.3770736577309e-06,5.81439068793111e-05,"hsa-miR-329-3p"
"hsa-mir-543_hsa-miR-543",12.7836140529613,-0.660084412349372,0.239070950684395,-2.76103981039825,0.00576176525893177,0.0163720663494215,"hsa-miR-543"
"hsa-mir-376c_hsa-miR-376c-3p",415.549995486008,-0.839376341956029,0.223683349732882,-3.75252043998087,0.000175065553005129,0.000892603970914309,"hsa-miR-376c-3p"
