"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","miRNA","Rank"
"hsa-mir-200b_hsa-miR-200b-5p",4.01625330788136,0.307216429761541,0.311693941157924,0.985634910387578,0.324312300485653,0.433264289537648,"hsa-miR-200b-5p",0.111595478677319
"hsa-mir-200b_hsa-miR-200b-3p",11.1286812643189,-0.0312096758801079,0.218459721420124,-0.142862380658666,0.886398869635307,0.920856734540701,"hsa-miR-200b-3p",-0.00111755393318429
"hsa-mir-200a_hsa-miR-200a-3p",12.5804671895483,0.639567609435338,0.235368511979379,2.71730319428358,0.00658162848346436,0.0180144673914541,"hsa-miR-200a-3p",1.11564803422201
"hsa-mir-429_hsa-miR-429",3.96138967938441,0.52354912153281,0.264623590421573,1.97846730406288,0.0478760135530108,0.0918413626326321,"hsa-miR-429",0.54290037733639
"hsa-mir-551a_hsa-miR-551a",44.0763566587441,0.2607222085116,0.204550590063785,1.2746099066754,0.202447349277618,0.299993682007943,"hsa-miR-551a",0.136328485903735
"hsa-mir-34a_hsa-miR-34a-5p",737.453345277384,0.0111962115802312,0.159790945922378,0.0700678722164274,0.944139638089111,0.964042449959237,"hsa-miR-34a-5p",0.000178062782903389
"hsa-mir-6729_hsa-miR-6729-5p",2.79601626493967,-0.182858111452464,0.335151431618618,-0.545598479377959,0.585341969852394,0.684223267927006,"hsa-miR-6729-5p",-0.0301354119484934
"hsa-mir-378f_hsa-miR-378f",12.5036318224708,0.47926993700589,0.373223879307033,1.28413524315688,0.199094638491384,0.2961580514987,"hsa-miR-378f",0.253282877737293
"hsa-mir-1976_hsa-miR-1976",10.9682431652041,-0.0311124945507356,0.227939981147265,-0.136494240256319,0.8914305775483,0.923607884491889,"hsa-miR-1976",-0.00107376587163034
"hsa-mir-3605_hsa-miR-3605-3p",4.03716746000778,0.242581347341166,0.222427503217618,1.09060859755203,0.27544514482708,0.381878331379226,"hsa-miR-3605-3p",0.101417192849312
"hsa-mir-5581_hsa-miR-5581-3p",3.21524854071057,-0.411881967128082,0.216537958601116,-1.90212362667928,0.0571549943315097,0.10673523037812,"hsa-miR-5581-3p",-0.400222498152774
"hsa-mir-30e_hsa-miR-30e-5p",2559.47713238465,0.744329658063602,0.272679769900869,2.72968419451945,0.00633950229727575,0.0176097286035437,"hsa-miR-30e-5p",1.30573832066619
"hsa-mir-30e_hsa-miR-30e-3p",28.9881845372119,0.261817796312923,0.177197274412562,1.47754979404109,0.139528320997285,0.222041989266726,"hsa-miR-30e-3p",0.171114919376392
