,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,miRNA,Rank
hsa-mir-551a_hsa-miR-551a,6.94367478,0.500968062,0.312156828,1.604860175,0.10852458,0.15983382,hsa-miR-551a,0.398936559
hsa-mir-34a_hsa-miR-34a-5p,131.0340773,0.706589341,0.29096143,2.428463943,0.015162933,0.028422294,hsa-miR-34a-5p,1.092627979
hsa-mir-1290_hsa-miR-1290,32.13615426,-4.523083478,0.400297751,-11.29929776,1.32271461739647e-29,1.90911809777557e-27,hsa-miR-1290,-120.8530237
hsa-mir-378f_hsa-miR-378f,3.298431221,0.45679973,0.326821123,1.397705651,0.162201477,0.231792869,hsa-miR-378f,0.290022116
hsa-mir-1976_hsa-miR-1976,7.468230855,-0.662212785,0.299117984,-2.213884891,0.026836698,0.04685601,hsa-miR-1976,-0.880236212
hsa-mir-30e_hsa-miR-30e-5p,162.0845501,0.186231883,0.246963947,0.754085303,0.450798002,0.548302064,hsa-miR-30e-5p,0.048602819
hsa-mir-30e_hsa-miR-30e-3p,2.952973851,-0.648967682,0.317266188,-2.045499039,0.040805684,0.067696786,hsa-miR-30e-3p,-0.758923543
hsa-mir-30c-1_hsa-miR-30c-5p,61.71454842,-0.640142807,0.274897835,-2.328657146,0.019877236,0.035832273,hsa-miR-30c-5p,-0.925470871
hsa-mir-6734_hsa-miR-6734-5p,8.923574841,-1.944581416,0.40695855,-4.778327956,1.76758912295393e-06,8.22974290579626e-06,hsa-miR-6734-5p,-9.887445369
hsa-mir-1273f_hsa-miR-1273f,3.467766392,-0.57700052,0.37829966,-1.525247261,0.127197437,0.1835883,hsa-miR-1273f,-0.424761818
hsa-mir-1273g_hsa-miR-1273g-3p,4.176145693,-0.98609296,0.371065814,-2.65746108,0.007873168,0.016311396,hsa-miR-1273g-3p,-1.76264991
hsa-mir-101-1_hsa-miR-101-5p,15.1262304,0.11272595,0.268513728,0.419814477,0.674620988,0.74708667,hsa-miR-101-5p,0.014274376
hsa-mir-101-1_hsa-miR-101-3p,447.2879672,0.271917868,0.35520139,0.765531542,0.443955092,0.541500154,hsa-miR-101-3p,0.072439305
hsa-mir-186_hsa-miR-186-5p,572.8056982,0.944481238,0.25924912,3.643141539,0.000269331,0.000815526,hsa-miR-186-5p,2.91708922
hsa-mir-186_hsa-miR-186-3p,3.893595153,1.034002226,0.300851105,3.436923478,0.000588362,0.001612409,hsa-miR-186-3p,2.887476777
hsa-mir-760_hsa-miR-760,53.84353467,-4.695911427,0.48788323,-9.625072429,6.26627627651061e-22,3.87613946818442e-20,hsa-miR-760,-91.15515709
hsa-mir-378g_hsa-miR-378g,2.154147359,0.063276991,0.380596325,0.166257492,0.867954317,0.903423604,hsa-miR-378g,0.002791057
hsa-mir-197_hsa-miR-197-3p,199.8996819,-1.209867854,0.266445271,-4.540774355,5.60479919969146e-06,2.47640617700653e-05,hsa-miR-197-3p,-5.572866837
hsa-mir-320b-1_hsa-miR-320b,88.7322193,-2.200040419,0.316014215,-6.961840041,3.35856733279867e-12,4.4068474397025e-11,hsa-miR-320b,-22.78333694
hsa-mir-942_hsa-miR-942-5p,10.4598479,-0.442022644,0.253836248,-1.741369275,0.08161887,0.124440038,hsa-miR-942-5p,-0.400048114
hsa-mir-92b_hsa-miR-92b-5p,4.533266221,-1.340955436,0.356979571,-3.756392649,0.00017238,0.000552893,hsa-miR-92b-5p,-4.367972697
hsa-mir-92b_hsa-miR-92b-3p,3.777394999,0.238990285,0.279408451,0.855343795,0.392360849,0.493872813,hsa-miR-92b-3p,0.07322301
hsa-mir-214_hsa-miR-214-5p,4.416180163,-0.072719089,0.298855735,-0.24332506,0.807753593,0.861471196,hsa-miR-214-5p,-0.004709233
hsa-mir-214_hsa-miR-214-3p,52.18165957,-2.074695821,0.301408456,-6.883336482,5.8466703071507e-12,7.4459065970478e-11,hsa-miR-214-3p,-21.01269026
hsa-mir-199a-2_hsa-miR-199a-5p,13.50844051,0.812991426,0.262554299,3.096469673,0.001958399,0.004790886,hsa-miR-199a-5p,1.885802071
hsa-mir-199a-2_hsa-miR-199a-3p,12.07807489,-0.564651138,0.292483395,-1.930540835,0.053539861,0.085862073,hsa-miR-199a-3p,-0.60203027
hsa-mir-181b-1_hsa-miR-181b-5p,18.68649515,-0.672407743,0.213254705,-3.153073418,0.001615612,0.003997485,hsa-miR-181b-5p,-1.612577103
hsa-mir-181a-1_hsa-miR-181a-5p,122.3835182,0.087553029,0.173245717,0.505369084,0.613299629,0.695179946,hsa-miR-181a-5p,0.013824865
hsa-mir-181a-1_hsa-miR-181a-3p,7.20869997,0.702232548,0.293189326,2.395150458,0.016613546,0.030742161,hsa-miR-181a-3p,1.061962135
hsa-mir-29c_hsa-miR-29c-5p,59.08774609,0.227963173,0.262008438,0.870060424,0.384267384,0.485742009,hsa-miR-29c-5p,0.07148796
hsa-mir-29c_hsa-miR-29c-3p,48.9018779,-0.525556216,0.283832283,-1.851643553,0.064077025,0.099714604,hsa-miR-29c-3p,-0.526208553
hsa-mir-29b-2_hsa-miR-29b-3p,78.1664372,0.746892804,0.21293243,3.507651716,0.00045208,0.001271109,hsa-miR-29b-3p,2.162864924
hsa-mir-29b-2_hsa-miR-29b-2-5p,18.05634172,0.450558824,0.237601371,1.896280408,0.057922975,0.090871914,hsa-miR-29b-2-5p,0.469288699
hsa-mir-205_hsa-miR-205-5p,37.2133013,0.635232988,0.295646114,2.148626204,0.031664043,0.053766786,hsa-miR-205-5p,0.806419335
