"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","miRNA","Rank"
"hsa-mir-6859-1_hsa-miR-6859-5p",2.87250037619083,1.01202097218086,0.300022514670205,3.37315008939683,0.000743134327725039,0.00304113432576708,"hsa-miR-6859-5p",2.54722075580143
"hsa-mir-200b_hsa-miR-200b-5p",3.99864404744498,0.405143741650388,0.326679267019121,1.24018810666266,0.214905826393872,0.313920209690162,"hsa-miR-200b-5p",0.203860521330015
"hsa-mir-200b_hsa-miR-200b-3p",27.5731541371921,-0.573107026066722,0.247469263072272,-2.31587155088165,0.0205652830706885,0.0474309129780619,"hsa-miR-200b-3p",-0.758758465435175
"hsa-mir-200a_hsa-miR-200a-3p",23.7530280861417,-0.987822775294842,0.271259567115821,-3.64161450892925,0.000270933565513629,0.00132641095263728,"hsa-miR-200a-3p",-2.84228410532479
"hsa-mir-429_hsa-miR-429",3.78477418819347,-0.569008212687842,0.285805285044455,-1.99089464912917,0.0464924706065614,0.0925211759202894,"hsa-miR-429",-0.588217279057105
"hsa-mir-551a_hsa-miR-551a",42.6802705768682,0.257108824024615,0.206653076289787,1.24415677056786,0.21344187046725,0.312584172678402,"hsa-miR-551a",0.129848444769504
"hsa-mir-34a_hsa-miR-34a-5p",1663.70549709044,0.0416456754208722,0.212392496877008,0.196078844748402,0.844548454291302,0.890290180349351,"hsa-miR-34a-5p",0.00210179130270941
"hsa-mir-1273d_hsa-miR-1273d",3.04764941767536,0.83009035106926,0.318347976422222,2.60749372557129,0.00912077420676414,0.0249259514280746,"hsa-miR-1273d",1.33092391637811
"hsa-mir-1290_hsa-miR-1290",40.905249830807,1.00940283887559,0.258803220381142,3.90027155531155,9.60848532518217e-05,0.000567968243666324,"hsa-miR-1290",3.27619451391674
"hsa-mir-378f_hsa-miR-378f",27.9684907503022,0.669650836899078,0.205337833191749,3.26121507415413,0.00110935860861838,0.00421556271274985,"hsa-miR-378f",1.59051746571183
"hsa-mir-1976_hsa-miR-1976",37.8783239431908,0.49246752962476,0.188078399203164,2.6184162121286,0.00883389830897901,0.024477259897796,"hsa-miR-1976",0.793482003926673
"hsa-mir-5585_hsa-miR-5585-3p",7.35554835410347,0.2136854651854,0.288197565213151,0.74145478997145,0.458417734247324,0.564532950508278,"hsa-miR-5585-3p",0.0530603883407042
"hsa-mir-3605_hsa-miR-3605-5p",4.50872857196326,0.367458208497957,0.257641590846955,1.42623792723061,0.153799675253046,0.246450082031989,"hsa-miR-3605-5p",0.223514184049895
"hsa-mir-5581_hsa-miR-5581-3p",5.08301018735523,-0.645751932455541,0.259781901979574,-2.48574641857197,0.0129280049116242,0.0338247472769709,"hsa-miR-5581-3p",-0.949749624789728
"hsa-mir-30e_hsa-miR-30e-5p",2627.18912872188,-0.829754240477611,0.167173264919776,-4.96343862683904,6.92559327059688e-07,1.26024412229193e-05,"hsa-miR-30e-5p",-4.06541850519289
"hsa-mir-30e_hsa-miR-30e-3p",45.8170494921305,-0.857125440482726,0.219612505486389,-3.90289905661063,9.50473497111266e-05,0.000566028246787157,"hsa-miR-30e-3p",-2.78322506996394
"hsa-mir-30c-1_hsa-miR-30c-5p",623.618989842328,-1.17458564486667,0.217837699021648,-5.39202190503283,6.9669272448112e-08,2.31650330889972e-06,"hsa-miR-30c-5p",-6.61898635285299
