"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"hsa-mir-200b_hsa-miR-200b-3p",1,1,1,1,1,5,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,6,3,184,6,304,33,47,45,17,1,45,14,1,18,54,23,1328,97,247,69,45,54,1,15,37,12,6,57,1,11,4,30,13,81,29,1,11,2,13,1,7,20,4,4,27,15,14,27,1,1,1,20,11,53,26,1,1,42,1,1,70,7,2,1,7,2,87,1,254,72,1,1,1,1,1,1,1
"hsa-mir-200a_hsa-miR-200a-3p",1,1,1,2,1,4,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,4,222,3,164,15,17,24,7,1,35,47,1,7,17,44,1106,76,360,91,60,29,13,16,28,8,1,32,5,44,3,27,4,54,12,1,6,3,15,1,6,10,4,3,25,7,26,20,1,17,6,9,9,34,13,4,1,10,9,1,20,6,2,2,5,2,54,1,83,36,2,1,1,1,1,1,1
"hsa-mir-551a_hsa-miR-551a",1,1,1,1,10,29,1,1,1,18,16,1,17,2,22,1,1,6,1,1,24,2,2,4,5,26,54,58,33,29,132,67,1,18,135,1,59,51,91,46,83,49,117,79,27,9,120,71,11,5,43,6,42,6,61,15,125,13,11,131,8,32,1,22,48,15,37,63,16,211,115,21,15,30,24,19,49,118,9,24,183,17,1,69,68,4,1,13,13,62,14,95,155,5,1,1,1,1,1,1
"hsa-mir-34a_hsa-miR-34a-5p",15,7,7,38,213,517,21,69,13,205,140,7,238,26,409,7,190,201,14,7,90,107,158,333,157,1119,590,1872,1270,642,1710,549,32,507,1200,26,376,896,1903,2303,1050,1874,2663,889,1483,482,1211,934,340,84,697,464,440,166,569,344,1622,370,168,538,109,506,127,376,462,576,442,1911,844,998,2477,320,918,405,498,500,1893,779,232,198,1037,351,95,903,653,67,55,409,216,697,299,2723,2032,358,7,7,7,7,7,7
"hsa-mir-1290_hsa-miR-1290",13,1,2,178,18,4,22,7,4,66,17,40,77,85,25,4,2,3,17,49,16,1,1,4,2,39,6,54,42,405,55,21,1,10,9,27,89,61,12,80,31,15,14,24,71,1,13,13,4,1,16,2,16,1,10,11,20,8,5,26,3,9,1,19,11,8,16,69,12,4,3,4,8,1,4,12,20,15,1,27,44,5,10,22,14,2,1,18,3,43,2,16,31,11,762,3,1,6,68,1
"hsa-mir-378f_hsa-miR-378f",1,1,1,1,5,4,1,1,1,16,21,1,16,8,3,1,14,8,1,1,1,1,1,3,5,38,23,14,8,7,9,8,1,6,20,1,8,13,16,12,19,38,50,6,19,13,61,10,10,6,7,16,17,2,17,11,66,8,11,44,9,26,6,6,14,14,32,20,7,39,39,28,24,11,12,31,18,45,10,15,23,15,3,14,42,1,3,8,7,70,26,84,88,10,1,1,1,1,1,1
"hsa-mir-1976_hsa-miR-1976",1,1,1,1,6,4,1,11,1,1,10,1,1,1,9,1,5,1,15,1,1,1,1,4,6,44,66,122,38,53,26,45,2,51,25,1,9,69,65,169,23,60,413,69,204,7,120,11,41,1,27,6,12,1,31,1,56,7,1,6,18,8,2,8,11,1,8,21,4,21,21,3,14,4,19,7,14,10,21,1,33,19,3,14,8,10,1,4,8,17,20,22,29,17,1,1,1,1,1,1
"hsa-mir-5585_hsa-miR-5585-3p",1,1,1,1,4,2,1,1,4,1,1,1,8,5,38,9,4,1,1,1,19,1,6,5,1,1,2,5,3,1,3,1,1,3,6,1,1,1,7,1,2,1,8,6,2,7,3,10,1,1,1,1,13,1,6,1,1,1,1,1,1,3,1,3,6,1,4,6,1,5,3,1,5,1,1,4,1,8,1,2,7,1,1,5,2,2,1,5,1,1,1,14,15,2,1,121,1,1,1,1
"hsa-mir-30e_hsa-miR-30e-5p",1,1,1,319,66,395,3,54,1,121,315,1,94,38,1102,1,11,39,82,43,176,50,44,119,224,1891,1751,16000,4920,2933,4951,1897,61,3094,2193,393,1493,2115,5017,3701,2350,3519,35753,4831,10516,858,15223,3472,2030,22,3704,398,3535,158,5507,943,7318,1706,305,1447,740,1022,69,1041,1378,660,520,2629,898,4621,3451,394,905,274,1038,1710,3528,3365,1786,46,4204,266,175,2745,845,337,65,666,846,886,68,2692,4117,544,375,1,1,160,1,1
"hsa-mir-30e_hsa-miR-30e-3p",1,1,1,20,1,5,1,1,1,1,10,1,1,1,8,1,1,1,1,1,1,1,1,3,1,11,44,607,96,35,69,38,1,58,30,9,2,120,84,346,2,39,469,85,124,1,52,33,16,3,109,9,46,5,43,15,31,29,1,31,8,8,3,7,6,18,14,20,4,53,26,3,8,4,5,16,43,38,17,1,36,9,3,31,7,1,1,9,18,18,4,31,33,1,20,1,1,1,75,1
"hsa-mir-30c-1_hsa-miR-30c-5p",1,1,1,183,154,319,16,120,1,22,47,1,12,10,322,1,8,9,4,13,30,19,15,45,145,686,2080,7520,1986,905,1610,779,13,1161,300,31,400,1053,2176,4023,699,1075,10886,880,3426,49,974,847,362,8,1299,50,1019,44,1395,217,1223,574,61,183,86,108,7,118,293,86,72,447,128,507,194,20,55,97,230,323,927,652,439,7,811,76,16,689,49,27,7,92,598,301,7,143,353,46,15,1,1,1,1,1
"hsa-mir-30c-1_hsa-miR-30c-1-3p",1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,15,2,1,7,1,1,2,14,1,11,2,5,9,15,1,16,9,17,2,6,5,1,1,5,1,4,1,4,2,8,1,1,9,2,1,1,2,2,1,1,3,1,14,2,1,5,4,1,1,5,10,5,3,15,3,1,3,4,1,1,1,1,4,1,12,7,1,1,1,1,1,1,1
"hsa-mir-6734_hsa-miR-6734-5p",1,1,1,1,34,1,10,8,10,190,116,1,9,1,7,1,6,2,1,30,4,1,5,1,8,110,113,21,8,11,17,6,1,3,4,1,14,14,3,11,4,33,93,4,14,4,109,1,15,2,9,3,8,2,9,7,46,4,6,25,30,17,3,19,12,8,21,4,1,7,11,6,17,1,22,9,3,19,13,5,22,7,19,5,78,1,2,6,6,25,27,23,61,6,47,1,1,1,1,1
"hsa-mir-1273f_hsa-miR-1273f",9,1,1,6,24,1,18,2,8,16,4,18,10,1,4,1,7,4,10,8,1,1,1,11,2,27,4,8,6,4,6,3,1,6,11,1,3,9,5,19,12,24,9,5,2,8,5,2,4,2,3,1,4,5,4,1,13,2,2,20,1,8,5,5,14,8,10,10,1,2,8,5,4,6,1,3,9,7,1,1,4,3,2,8,9,5,1,1,1,18,9,6,22,1,1,84,1,1,1,1
"hsa-mir-5095_hsa-miR-5095",1,1,1,1,4,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,3,1,6,2,7,1,1,2,1,1,4,5,1,1,8,7,5,10,10,1,2,2,4,7,2,1,4,3,1,1,2,3,1,1,1,1,1,1,3,1,4,2,1,1,1,1,1,5,1,2,4,1,4,1,1,1,4,1,1,2,3,2,1,1,1,1,1,1,10,21,4,1,1,1,1,1,1
"hsa-mir-1273g_hsa-miR-1273g-3p",1,1,1,1,22,10,1,21,1,1,18,1,1,1,6,1,7,6,1,1,1,1,12,14,10,16,22,39,1,4,10,12,1,15,41,1,6,13,24,25,31,12,34,10,13,14,15,14,9,8,11,10,14,8,11,6,45,14,4,10,6,16,5,14,12,13,25,30,5,6,11,6,14,27,8,4,9,17,3,2,9,6,4,29,16,7,1,10,4,1,24,20,73,1,1,1,1,1,1,1
"hsa-mir-101-1_hsa-miR-101-5p",1,1,1,4,6,41,1,1,1,57,83,1,1,1,39,1,3,3,1,1,68,3,3,12,26,103,287,371,131,102,173,77,8,31,88,1,21,59,166,233,122,155,1638,121,286,42,536,160,90,1,104,25,141,8,250,33,182,55,13,99,97,55,6,41,64,71,44,89,39,119,96,22,78,40,96,73,135,232,145,12,203,16,17,158,73,25,1,41,123,116,9,130,247,36,1,1,1,1,1,1
"hsa-mir-101-1_hsa-miR-101-3p",4,4,4,184,61,1505,21,38,7,391,783,8,232,37,3283,4,105,113,83,57,98,171,90,414,1754,4577,9780,55498,19171,9636,14247,7416,173,8534,2481,126,954,4926,13695,25659,6058,7665,83583,14237,31211,1070,24074,4583,4296,34,6790,572,8984,355,10741,1627,11071,3426,543,1406,1445,1300,142,1378,2609,1429,844,4614,1911,5073,2601,468,1161,784,2343,2620,5220,5143,5380,104,6242,1167,1056,4863,1275,547,100,1886,5449,2239,160,2437,4333,851,67,4,4,37,4,4
