"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","miRNA","Rank"
"hsa-mir-1290_hsa-miR-1290",28.9972506878084,-1.46725352780776,0.374360922107901,-3.91935546997306,8.87860844676015e-05,0.000582249796034903,"hsa-miR-1290",-4.74640472551671
"hsa-mir-1976_hsa-miR-1976",9.03322415956234,-0.60064747404972,0.214940197164824,-2.7944864756457,0.00519822150408188,0.0166932577167166,"hsa-miR-1976",-1.06762619957349
"hsa-mir-5585_hsa-miR-5585-3p",4.19770293937927,-1.41745244271243,0.352804777170326,-4.01766794112348,5.87769436914676e-05,0.000422414152943604,"hsa-miR-5585-3p",-4.78285526114302
"hsa-mir-1273f_hsa-miR-1273f",7.97522616549888,-1.42459730845163,0.333035418462028,-4.27761502074009,1.8890635476677e-05,0.000159038728404997,"hsa-miR-1273f",-5.41132875242402
"hsa-mir-760_hsa-miR-760",4.43594159927159,-0.957102937616352,0.331030453999012,-2.89128364491567,0.00383671665869027,0.0130616091713882,"hsa-miR-760",-1.80318510756389
"hsa-mir-197_hsa-miR-197-3p",283.722928426672,-0.960130749900042,0.278808639225915,-3.44369081448033,0.000573831511378992,0.00262865464403759,"hsa-miR-197-3p",-2.47739317915326
"hsa-mir-92b_hsa-miR-92b-5p",7.03518031396478,-1.3460988710068,0.307524304756974,-4.37721132991609,1.20207410133675e-05,0.000108535096396057,"hsa-miR-92b-5p",-5.33651448293434
"hsa-mir-92b_hsa-miR-92b-3p",7.66039409110248,-0.80865860608339,0.222672070547157,-3.63161219140024,0.000281656162432842,0.00149975888201419,"hsa-miR-92b-3p",-2.28363456380651
"hsa-mir-214_hsa-miR-214-3p",63.3663080196466,-0.95571347628714,0.272848286386803,-3.50272852706237,0.000460518554525124,0.00224182551551434,"hsa-miR-214-3p",-2.53206555632319
"hsa-mir-215_hsa-miR-215-5p",289.67385224632,-0.931240730090921,0.274161926055805,-3.39668145569334,0.000682083176401361,0.0029925198513947,"hsa-miR-215-5p",-2.35041710954155
"hsa-mir-194-1_hsa-miR-194-5p",53.4371390126144,-1.25135369573269,0.256193829370009,-4.88440216850585,1.03743135934887e-06,1.21947120164971e-05,"hsa-miR-194-5p",-6.1489373927118
"hsa-mir-664a_hsa-miR-664a-3p",7.41075039055545,-1.75235933970654,0.290795931395824,-6.02607928967643,1.67984795760313e-09,6.15614869168676e-08,"hsa-miR-664a-3p",-12.6357215426734
"hsa-mir-6741_hsa-miR-6741-5p",5.07548006867048,-0.857263771088196,0.32589365849415,-2.63050154166649,0.00852589829124495,0.0250548803558755,"hsa-miR-6741-5p",-1.37257159635513
"hsa-mir-3620_hsa-miR-3620-3p",4.3165618287141,-1.53158622400727,0.271037870686709,-5.65082001318415,1.59684225658433e-08,3.97933090340814e-07,"hsa-miR-3620-3p",-9.80244275134329
"hsa-mir-548q_hsa-miR-548q",9.14540739215647,-1.1212439092048,0.225857415369007,-4.96438829503521,6.89179383377571e-07,9.13529267753674e-06,"hsa-miR-548q",-5.65025924191678
"hsa-mir-107_hsa-miR-107",2238.69426229326,-0.904542856624148,0.344875901578431,-2.62280679074481,0.00872087123981055,0.0255075248000092,"hsa-miR-107",-1.44123679157241
